ClassName,Namespace,Kind,File,Lines,Methods,Fields,Properties,BaseClass,Interfaces,Uses
"ILogger","MeshDecimator","interface","Logging.cs",20,3,0,0,"","",""
"Logging","MeshDecimator","static class","Logging.cs",116,7,2,1,"","","ILogger; ConsoleLogger"
"DecimationAlgorithm","MeshDecimator.Algorithms","abstract class","DecimationAlgorithm.cs",129,5,4,5,"","","MathHelper; Mesh"
"UVChannels","MeshDecimator.Collections","class","UVChannels.cs",70,2,2,1,"","","Mesh; ResizableArray"
"ResizableArray","MeshDecimator.Collections","class","ResizableArray.cs",144,7,3,2,"","",""
"ConsoleLogger","MeshDecimator.Loggers","class","ConsoleLogger.cs",29,3,0,0,"","ILogger",""
"SymmetricMatrix","MeshDecimator.Math","struct","SymmetricMatrix.cs",269,8,10,0,"","",""
"LODBackupComponent","UnityMeshSimplifier","class","LODBackupComponent.cs",12,0,1,1,"MonoBehaviour","",""
"ResizableArray","UnityMeshSimplifier","class","ResizableArray.cs",182,9,3,2,"","",""
"MeshUtils","UnityMeshSimplifier","static class","MeshUtils.cs",431,14,1,0,"","","Mesh; Vector3; Vector4; BoneWeight; Vector2; BlendShape; BlendShapeFrame"
"IOUtils","UnityMeshSimplifier","static class","IOUtils.cs",93,2,0,0,"","",""
"SimplificationOptions","UnityMeshSimplifier","struct","SimplificationOptions.cs",86,0,11,0,"","",""
"MeshDecimatorUtility","MeshDecimator.Unity","static class","MeshDecimatorUtility.cs",876,28,0,0,"","","Logging; ConsoleLogger; UnityLogger; Vector3d; Vector2; Vector3; Vector4; BoneWeight; Mesh; DecimationAlgorithm; MeshDecimation; Algorithm"
"LODSettings","MeshDecimator.Unity","struct","LODGenerator.cs",127,4,9,0,"","",""
"LODGenerator","MeshDecimator.Unity","static class","LODGenerator.cs",368,9,1,0,"","","Mesh; DecimationAlgorithm; MeshDecimatorUtility; LODSettings; Vector3"
"DecimatedObject","MeshDecimator.Unity","class","DecimatedObject.cs",67,3,2,2,"MonoBehaviour","","LODSettings; LODGenerator"
"Vector3","MeshDecimator.Math","struct","Vector3.cs",459,19,5,3,"","IEquatable","Vector3d; Vector3i; MathHelper"
"Vector2i","MeshDecimator.Math","struct","Vector2i.cs",313,11,3,2,"","IEquatable","Vector2; Vector2d"
"Vector2d","MeshDecimator.Math","struct","Vector2d.cs",390,15,4,3,"","IEquatable","Vector2; Vector2i"
"Vector2","MeshDecimator.Math","struct","Vector2.cs",390,15,4,3,"","IEquatable","Vector2d; Vector2i"
"ShowExample","","class","ShowExample.cs",35,1,8,0,"MonoBehaviour","","Vector3"
"Triangle","UnityMeshSimplifier.Internal","struct","Triangle.cs",132,7,15,0,"","IEquatable","Vector3d"
"Ref","UnityMeshSimplifier.Internal","struct","Ref.cs",12,1,2,0,"","",""
"BorderVertex","UnityMeshSimplifier.Internal","struct","BorderVertex.cs",12,1,2,0,"","",""
"BorderVertexComparer","UnityMeshSimplifier.Internal","class","BorderVertex.cs",10,1,1,0,"","IComparer","BorderVertex"
"BlendShapeFrameContainer","UnityMeshSimplifier.Internal","class","BlendShapeFrameContainer.cs",46,5,4,0,"","","Vector3; BlendShapeFrame; ResizableArray"
"UnityLogger","MeshDecimator.Unity.Loggers","class","UnityLogger.cs",29,3,0,0,"","ILogger",""
