ClassName,MethodName,ReturnType,AccessLevel,Static,Async,Parameters
"ILogger","LogVerbose","void","public",False,False,"string text"
"ILogger","LogWarning","void","public",False,False,"string text"
"ILogger","LogError","void","public",False,False,"string text"
"Logging","Logging","«ctor»","private",True,False,""
"Logging","LogVerbose","void","public",True,False,"string text"
"Logging","LogVerbose","void","public",True,False,"string format; params object[] args"
"Logging","LogWarning","void","public",True,False,"string text"
"Logging","LogWarning","void","public",True,False,"string format; params object[] args"
"Logging","LogError","void","public",True,False,"string text"
"Logging","LogError","void","public",True,False,"string format; params object[] args"
"DecimationAlgorithm","ReportStatus","void","protected",False,False,"int iteration; int originalTris; int currentTris; int targetTris"
"DecimationAlgorithm","Initialize","void","public",False,False,"Mesh mesh"
"DecimationAlgorithm","DecimateMesh","void","public",False,False,"int targetTrisCount"
"DecimationAlgorithm","DecimateMeshLossless","void","public",False,False,""
"DecimationAlgorithm","ToMesh","Mesh","public",False,False,""
"UVChannels","UVChannels","«ctor»","public",False,False,""
"UVChannels","Resize","void","public",False,False,"int capacity; bool trimExess = false"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity; int length"
"ResizableArray","IncreaseCapacity","void","private",False,False,"int capacity"
"ResizableArray","Clear","void","public",False,False,""
"ResizableArray","Resize","void","public",False,False,"int length; bool trimExess = false"
"ResizableArray","TrimExcess","void","public",False,False,""
"ResizableArray","Add","void","public",False,False,"T item"
"ConsoleLogger","LogVerbose","void","public",False,False,"string text"
"ConsoleLogger","LogWarning","void","public",False,False,"string text"
"ConsoleLogger","LogError","void","public",False,False,"string text"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double c"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double m0; double m1; double m2; double m3; double m4; double m5; double m6; double m7; double m8; double m9"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double a; double b; double c; double d"
"SymmetricMatrix","Determinant1","double","internal",False,False,""
"SymmetricMatrix","Determinant2","double","internal",False,False,""
"SymmetricMatrix","Determinant3","double","internal",False,False,""
"SymmetricMatrix","Determinant4","double","internal",False,False,""
"SymmetricMatrix","Determinant","double","public",False,False,"int a11; int a12; int a13; int a21; int a22; int a23; int a31; int a32; int a33"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity; int length"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"T[] initialArray"
"ResizableArray","IncreaseCapacity","void","private",False,False,"int capacity"
"ResizableArray","Clear","void","public",False,False,""
"ResizableArray","Resize","void","public",False,False,"int length; bool trimExess = false; bool clearMemory = false"
"ResizableArray","TrimExcess","void","public",False,False,""
"ResizableArray","Add","void","public",False,False,"T item"
"ResizableArray","ToArray","T[]","public",False,False,""
"MeshUtils","CreateMesh","Mesh","public",True,False,"Vector3[] vertices; int[][] indices; Vector3[] normals; Vector4[] tangents; Color[] colors; BoneWeight[] boneWeights; List<Vector2>[] uvs; Matrix4x4[] bindposes; BlendShape[] blendShapes"
"MeshUtils","CreateMesh","Mesh","public",True,False,"Vector3[] vertices; int[][] indices; Vector3[] normals; Vector4[] tangents; Color[] colors; BoneWeight[] boneWeights; List<Vector4>[] uvs; Matrix4x4[] bindposes; BlendShape[] blendShapes"
"MeshUtils","CreateMesh","Mesh","public",True,False,"Vector3[] vertices; int[][] indices; Vector3[] normals; Vector4[] tangents; Color[] colors; BoneWeight[] boneWeights; List<Vector2>[] uvs2D; List<Vector3>[] uvs3D; List<Vector4>[] uvs4D; Matrix4x4[] bindposes; BlendShape[] blendShapes"
"MeshUtils","GetMeshBlendShapes","BlendShape[]","public",True,False,"Mesh mesh"
"MeshUtils","ApplyMeshBlendShapes","void","public",True,False,"Mesh mesh; BlendShape[] blendShapes"
"MeshUtils","GetMeshUVs","IList<Vector4>[]","public",True,False,"Mesh mesh"
"MeshUtils","GetMeshUVs2D","IList<Vector2>","public",True,False,"Mesh mesh; int channel"
"MeshUtils","GetMeshUVs3D","IList<Vector3>","public",True,False,"Mesh mesh; int channel"
