From,RelationType,To
"Logging",usa,"ILogger"
"Logging",usa,"ConsoleLogger"
"DecimationAlgorithm",usa,"MathHelper"
"DecimationAlgorithm",usa,"Mesh"
"UVChannels",usa,"Mesh"
"UVChannels",usa,"ResizableArray"
"ConsoleLogger",implementa,"ILogger"
"LODBackupComponent",hereda,"MonoBehaviour"
"MeshUtils",usa,"Mesh"
"MeshUtils",usa,"Vector3"
"MeshUtils",usa,"Vector4"
"MeshUtils",usa,"BoneWeight"
"MeshUtils",usa,"Vector2"
"MeshUtils",usa,"BlendShape"
"MeshUtils",usa,"BlendShapeFrame"
"MeshDecimatorUtility",usa,"Logging"
"MeshDecimatorUtility",usa,"ConsoleLogger"
"MeshDecimatorUtility",usa,"UnityLogger"
"MeshDecimatorUtility",usa,"Vector3d"
"MeshDecimatorUtility",usa,"Vector2"
"MeshDecimatorUtility",usa,"Vector3"
"MeshDecimatorUtility",usa,"Vector4"
"MeshDecimatorUtility",usa,"BoneWeight"
"MeshDecimatorUtility",usa,"Mesh"
"MeshDecimatorUtility",usa,"DecimationAlgorithm"
"MeshDecimatorUtility",usa,"MeshDecimation"
"MeshDecimatorUtility",usa,"Algorithm"
"LODGenerator",usa,"Mesh"
"LODGenerator",usa,"DecimationAlgorithm"
"LODGenerator",usa,"MeshDecimatorUtility"
"LODGenerator",usa,"LODSettings"
"LODGenerator",usa,"Vector3"
"DecimatedObject",hereda,"MonoBehaviour"
"DecimatedObject",usa,"LODSettings"
"DecimatedObject",usa,"LODGenerator"
"Vector3",implementa,"IEquatable"
"Vector3",usa,"Vector3d"
"Vector3",usa,"Vector3i"
"Vector3",usa,"MathHelper"
"Vector2i",implementa,"IEquatable"
"Vector2i",usa,"Vector2"
"Vector2i",usa,"Vector2d"
"Vector2d",implementa,"IEquatable"
"Vector2d",usa,"Vector2"
"Vector2d",usa,"Vector2i"
"Vector2",implementa,"IEquatable"
"Vector2",usa,"Vector2d"
"Vector2",usa,"Vector2i"
"ShowExample",hereda,"MonoBehaviour"
"ShowExample",usa,"Vector3"
"Triangle",implementa,"IEquatable"
"Triangle",usa,"Vector3d"
"BorderVertexComparer",implementa,"IComparer"
"BorderVertexComparer",usa,"BorderVertex"
"BlendShapeFrameContainer",usa,"Vector3"
"BlendShapeFrameContainer",usa,"BlendShapeFrame"
"BlendShapeFrameContainer",usa,"ResizableArray"
"UnityLogger",implementa,"ILogger"
"BlendShapeContainer",usa,"BlendShapeFrameContainer"
"BlendShapeContainer",usa,"BlendShape"
"BlendShapeContainer",usa,"Vector3"
"BlendShapeContainer",usa,"BlendShapeFrame"
"Vector3d",implementa,"IEquatable"
"Vector3d",usa,"Vector3"
"Vector3d",usa,"MathHelper"
"MathHelper",usa,"Vector3d"
"LODGeneratorHelperEditor",hereda,"Editor"
"LODGeneratorHelperEditor",usa,"LODGeneratorHelper"
"LODGeneratorHelperEditor",usa,"IOUtils"
"LODGeneratorHelperEditor",usa,"LODGenerator"
"LODGeneratorHelper",hereda,"MonoBehaviour"
"LODGeneratorHelper",usa,"SimplificationOptions"
"LODGeneratorHelper",usa,"LODLevel"
"UVChannels",usa,"Mesh"
"UVChannels",usa,"ResizableArray"
"ConsoleLogger",implementa,"ILogger"
"Vector4i",implementa,"IEquatable"
"Vector4i",usa,"Vector4"
"Vector4i",usa,"Vector4d"
"Vector3d",implementa,"IEquatable"
